category,message,,,,,,,"
",,,
Arts and photography,Every artist was first an amateur. Ralph Waldo Emerson,"You don't take a photograph, you make it. Ansel Adams",A picture is a poem without words. Horace,Art enables us to find ourselves and lose ourselves at the same time. Thomas Merton,Creativity is contagious. Pass it on. Albert Einstein,The role of art is to ask questions. Not to answer them. Anton Chekhov,Art is the only serious thing in the world. And the artist is the only person who is never serious. Oscar Wilde,Art wasn’t supposed to look nice; it was supposed to make you feel something. Rainbow Rowell,The great artist is the simplifier. Vincent Van Gogh,We must never forget that art is not a form of propaganda; it is a form of truth. John F. Kennedy,An artist`s work is utterly incomprehensible and therefore full of deep significance. Calvin
Biographies and memoirs,Always live your life with your biography in mind. Marisha Pessl,"Read no history--nothing but biography, for that is life without theory. Benjamin Disraeli","Just as there is nothing between the admirable omelet and the intolerable, so with autobiography. Hilaire Belloc",Biography should be written by an acute enemy. Arthur Balfour,Biography is: a system in which the contradictions of a human life are unified. José Ortega y Gasset,Only when one has lost all curiosity about the future has one reached the age to write an autobiography. Evelyn Waugh,A well-written life is almost as rare as a well-spent one. Thomas Carlyle,Great geniuses have the shortest biographies. Ralph Waldo Emerson,There is properly no history; only biography. Ralph Waldo Emerson,,
Business and investing,"There are no secrets to success. It is the result of preparation, hard work, and learning from failure. Colin Powell","There is always space for improvement, no matter how long you've been in the business. Oscar De La Hoya",A brand for a company is like a reputation for a person. You earn reputation by trying to do hard things well. Jeff Bezos,"It doesn't matter whether you are pursuing success in business, sports, the arts, or life in general: The bridge between wishing and accomplishing is discipline. Harvey Mackay",Great things in business are never done by one person. They're done by a team of people. Steve Jobs,"The entrepreneur always searches for change, responds to it, and exploits it as an opportunity. Peter Drucker","If people like you, they'll listen to you, but if they trust you, they'll do business with you. Zig Ziglar",,,,
Children's books,,,,,,,,,,,
"Cookbooks, food and wine",Food is not just eating energy. It's an experience.,,,,,,,,,,
History,"If you think you have it tough, read history books. Bill Maher",,,,,,,,,,
Literature and Fiction,,,,,,,,,,,
Mystery and suspense,,,,,,,,,,,
Romance,"The very essence of romance is uncertainty. Oscar Wilde, The Importance of Being Earnest and Other Plays",,,,,,,,,,
Sci-Fi and Fantasy,"He who controls the spice controls the universe. Frank Herbert, Dune","Everything's science fiction until someone makes it science fact. Marie Lu, Warcross",Books are keys that open many doors. James Rollins,"Science is my territory, but science fiction is the landscape of my dreams. Freeman John Dyson, Imagined Worlds",,,,,,,
Teens and young adults,,,,,,,,,,,
Default,,,,,,,,,,,
